ANNEE,COMMUNE,NB_BENEFICIAIRES
2011,Commune St Christophe des Bardes,NC
2011,Commune St Cibard,NC
2011,Commune St Ciers d Abzac,15
2011,Commune St Ciers de Canesse,7
2011,Commune St Ciers sur Gironde,43
2011,Commune St Come,NC
2011,Commune St Denis de Pile,64
2011,Commune St Emilion,22
2011,Commune St Estèphe,25
2011,Commune St Etienne de Lisse,NC
2011,Commune St Exupéry,NC
2011,Commune St Felix de Foncaude,NC
2011,Commune St Ferme,6
2011,Commune St Genès de Blaye,NC
2011,Commune St Genès de Castillon,NC
2011,Commune St Genès de Fronsac,NC
2011,Commune St Genès de Lombaud,NC
2011,Commune St Germain d Esteuil,9
2011,Commune St Germain de Grave,NC
2011,Commune St Germain de la Rivière,NC
2011,Commune St Germain du Puch,11
2011,Commune St Gervais,14
2011,Commune St Girons d'Aiguevives,16
2011,Commune St Hilaire de la Noaille,8
2011,Commune St Hilaire du Bois,NC
2011,Commune St Hippolyte,NC
2011,Commune St Jean d Illac,49
2011,Commune St Jean de Blaignac,NC
2011,Commune St Julien Beychevelle ,6
2011,Commune St Laurent d Arce,15
2011,Commune St Laurent des Combes ,NC
2011,Commune St Laurent du Bois,NC
2011,Commune St Laurent du Médoc,61
2011,Commune St Laurent du Plan,NC
2011,Commune St Loubert,NC
2011,Commune St Loubès,71
2011,Commune St Louis de Montferrand,23
2011,Commune St Léger de Balson,8
2011,Commune St Léon,NC
2011,Commune St Macaire,27
2011,Commune St Magne,15
2011,Commune St Magne de Castillon,26
2011,Commune St Maixant,24
2011,Commune St Mariens,30
2011,Commune St Martin Lacaussade,15
2011,Commune St Martin de Laye,9
2011,Commune St Martin de Sescas,7
2011,Commune St Martin du Bois,7
2011,Commune St Martin du Puy,6
2011,Commune St Michel de Castelnau,NC
2011,Commune St Michel de Fronsac,NC
2011,Commune St Michel de Lapujade,NC
2011,Commune St Michel de Rieufret,10
2011,Commune St Morillon,15
2011,Commune St Médard d Eyrans,18
2011,Commune St Médard de Guizières,28
2011,Commune St Médard en Jalles,318
2011,Commune St Palais,NC
2011,Commune St Pardon de Conques,NC
2011,Commune St Paul,14
2011,Commune St Pey d Armens,NC
2011,Commune St Pey de Castets,12
2011,Commune St Philippe d Aiguille,11
2011,Commune St Philippe du Seignal,NC
2011,Commune St Pierre d Aurillac,15
2011,Commune St Pierre de Bat,NC
2011,Commune St Pierre de Mons,16
2011,Commune St Quentin de Baron,17
2011,Commune St Quentin de Caplong,NC
2011,Commune St Romain la Virvée,NC
2011,Commune St Sauveur,21
2011,Commune St Sauveur de Puynormand,NC
2011,Commune St Savin,36
2011,Commune St Selve,12
2011,Commune St Seurin de Bourg,NC
2011,Commune St Seurin de Cadourne,16
2011,Commune St Seurin de Cursac,7
2011,Commune St Seurin sur l'Isle,43
2011,Commune St Sulpice de Faleyrens,14
2011,Commune St Sulpice de Guilleragues,NC
2011,Commune St Sulpice de Pommiers,NC
2011,Commune St Sulpice et Cameyrac,43
2011,Commune St Symphorien,21
2011,Commune St Trojan,6
2011,Commune St Vincent de Paul,15
2011,Commune St Vincent de Pertignas,NC
2011,Commune St Vivien de Blaye,NC
2011,Commune St Vivien de Monségur,NC
2011,Commune St Vivien de Médoc,16
2011,Commune St Yzan de Soudiac,36
2011,Commune St Yzans de Médoc,NC
2011,Commune Ste Colombe,NC
2011,Commune Ste Croix du Mont,7
2011,Commune Ste Eulalie,48
2011,Commune Ste Florence,NC
2011,Commune Ste Foy la Grande,42
2011,Commune Ste Foy la Longue,NC
2011,Commune Ste Gemme,NC
2011,Commune Ste Hélène,26
2011,Commune Ste Radegonde,NC
2011,Commune Ste Terre,15
2011,Commune Tabanac,10
2011,Commune Taillecavat,NC
2011,Commune Talais,10
2011,Commune Talence,506
2011,Commune Targon,16
2011,Commune Tarnes,NC
2011,Commune Tauriac,18
2011,Commune Tayac,NC
2011,Commune Teuillac,9
2011,Commune Tizac de Curton,NC
2011,Commune Tizac de Lapouyade,NC
2011,Commune Toulenne,30
2011,Commune Tresses,51
2011,Commune Uzeste,NC
2011,Commune Valeyrac,NC
2011,Commune Vayres,25
2011,Commune Vendays Montalivet,26
2011,Commune Vensac,13
2011,Commune Verac,NC
2011,Commune Verdelais,21
2011,Commune Vertheuil,16
2011,Commune Vignonet,NC
2011,Commune Villandraut,14
2011,Commune Villegouge,14
2011,Commune Villenave d Ornon,330
2011,Commune Villenave de Rions,NC
2011,Commune Villeneuve,NC
2011,Commune Virelade,9
2011,Commune Virsac,14
2011,Commune Yvrac,19
2012,Commune Abzac,24
2012,Commune Aillas,8
2012,Commune Ambarès et Lagrave,164
2012,Commune Ambès,47
2012,Commune Andernos les Bains,103
2012,Commune Anglade,15
2012,Commune Arbanats,9
2012,Commune Arbis,NC
2012,Commune Arcachon,87
2012,Commune Arcins,NC
2012,Commune Arsac,32
2012,Commune Artigues près Bordeaux,93
2012,Commune Arveyres,17
2012,Commune Arès,40
2012,Commune Asques,NC
2012,Commune Aubiac,6
2012,Commune Aubie et Espessas,16
2012,Commune Audenge ,68
2012,Commune Auriolles,NC
2012,Commune Auros,9
2012,Commune Avensan,29
2012,Commune Ayguemorte les Graves,12
2012,Commune Bagas,NC
2012,Commune Baigneaux,9
2012,Commune Balizac,6
2012,Commune Barie,NC
2012,Commune Baron,6
2012,Commune Barsac,37
2012,Commune Bassanne,NC
2012,Commune Bassens,84
2012,Commune Baurech,8
2012,Commune Bayas,6
2012,Commune Bayon sur Gironde,11
2012,Commune Bazas,41
2012,Commune Beautiran,18
2012,Commune Begadan,7
2012,Commune Beguey,17
2012,Commune Belin Beliet,54
2012,Commune Bellebat,NC
2012,Commune Bellefond,NC
2012,Commune Belvès de Castillon,8
2012,Commune Bernos Beaulac,20
2012,Commune Berson,14
2012,Commune Berthez,NC
2012,Commune Beychac et Caillau,14
2012,Commune Bieujac,NC
2012,Commune Biganos ,115
2012,Commune Birac,NC
2012,Commune Blaignac,NC
2012,Commune Blaignan,NC
2012,Commune Blanquefort,203
2012,Commune Blasimon,19
2012,Commune Blaye,102
2012,Commune Blesignac,NC
2012,Commune Bommes,8
2012,Commune Bonnetan,NC
2012,Commune Bonzac,NC
2012,Commune Bordeaux,2884
2012,Commune Bouliac,24
2012,Commune Bourg sur Gironde,36
2012,Commune Bourideys,NC
2012,Commune Brach,9
2012,Commune Branne,15
2012,Commune Brannens,NC
2012,Commune Braud et St Louis,30
2012,Commune Brouqueyran,NC
2012,Commune Bruges,164
2012,Commune Budos,7
2012,Commune Bègles,362
2012,Commune Cabanac et Villagrains,25
2012,Commune Cabara,NC
2012,Commune Cadarsac,NC
2012,Commune Cadaujac,52
2012,Commune Cadillac,68
2012,Commune Cadillac en Fronsadais,NC
2012,Commune Camarsac,10
2012,Commune Cambes,10
2012,Commune Camblanes et Meynac,29
2012,Commune Camiac et St Denis,NC
2012,Commune Camiran,NC
2012,Commune Camps sur l Isle,9
2012,Commune Campugnan,9
2012,Commune Cantenac,17
2012,Commune Canéjan,49
2012,Commune Capian,NC
2012,Commune Caplong,NC
2012,Commune Captieux,15
2012,Commune Carbon Blanc,95
2012,Commune Carcans,17
2012,Commune Cardan,NC
2012,Commune Carignan de Bordeaux,33
2012,Commune Cars,14
2012,Commune Cartelègue,15
2012,Commune Casseuil,7
2012,Commune Castelmoron d Albret,NC
2012,Commune Castelnau du Médoc,47
2012,Commune Castets en Dorthe,9
2012,Commune Castillon de Castets,NC
2012,Commune Castillon la Bataille,58
2012,Commune Castres Gironde,12
2012,Commune Caudrot,13
2012,Commune Caumont,NC
2012,Commune Cavignac,29
2012,Commune Cazalis,NC
2012,Commune Cazats,NC
2012,Commune Cazaugitat,NC
2012,Commune Cenon,388
2012,Commune Cessac,NC
2012,Commune Cestas,184
2012,Commune Chamadelle,7
2012,Commune Cissac Médoc,32
2012,Commune Civrac de Blaye,8
2012,Commune Civrac de Dordogne,NC
2012,Commune Civrac en Médoc,NC
2012,Commune Cleyrac,NC
2012,Commune Coimères,17
2012,Commune Coirac,NC
2012,Commune Comps,6
2012,Commune Couqueques,NC
2012,Commune Cours les Bains,NC
2012,Commune Coutras,109
2012,Commune Croignon,NC
2012,Commune Créon,48
2012,Commune Cubnezais,20
2012,Commune Cubzac les Ponts,27
2012,Commune Cudos,7
2012,Commune Cursan,NC
2012,Commune Cussac Fort Médoc,27
2012,Commune Cénac,18
2012,Commune Cérons,19
2012,Commune Cézac,27
2012,Commune Daignac,NC
2012,Commune Dardenac,NC
2012,Commune Daubeze,NC
2012,Commune Dieulivol,NC
2012,Commune Donnezac,9
2012,Commune Donzac,NC
2012,Commune Doulezon,NC
2012,Commune Escaudes,NC
2012,Commune Escoussans,NC
2012,Commune Espiet,NC
2012,Commune Etauliers,30
2012,Commune Eynesse,6
2012,Commune Eyrans,10
2012,Commune Eysines,268
2012,Commune Faleyras,8
2012,Commune Fargues St Hilaire,22
2012,Commune Fargues de Langon,12
2012,Commune Flaujagues,NC
2012,Commune Floirac,220
2012,Commune Fontet,7
2012,Commune Fours,NC
2012,Commune Francs,NC
2012,Commune Fronsac,8
2012,Commune Frontenac,10
2012,Commune Gabarnac,NC
2012,Commune Gaillan en Médoc,20
2012,Commune Gajac,NC
2012,Commune Galgon,36
2012,Commune Gans,NC
2012,Commune Gardegan et Tourtirac,NC
2012,Commune Gauriac,11
2012,Commune Gauriaguet,10
2012,Commune Generac,11
2012,Commune Genissac,9
2012,Commune Gensac,13
2012,Commune Gironde sur Dropt,14
2012,Commune Giscos,NC
2012,Commune Gornac,6
2012,Commune Gours,NC
2012,Commune Gradignan,286
2012,Commune Grayan et L Hopital,14
2012,Commune Grezillac,12
2012,Commune Grignols,19
2012,Commune Guillac,NC
2012,Commune Guillos,9
2012,Commune Guitres,32
2012,Commune Gujan Mestras,203
2012,Commune Haux,10
2012,Commune Hostens,11
2012,Commune Hourtin,35
2012,Commune Hure,NC
2012,Commune Illats,12
2012,Commune Isle St Georges,7
2012,Commune Izon,56
2012,Commune Jau Dignac et Loirac,13
2012,Commune Jugazan,6
2012,Commune Juillac,NC
2012,Commune La Brède,25
2012,Commune La Lande de Fronsac,25
2012,Commune La Rivière,NC
2012,Commune La Roquille,7
2012,Commune La Réole,76
2012,Commune La Sauve,13
2012,Commune La Teste de Buch,255
2012,Commune Labarde,6
2012,Commune Lacanau,40
2012,Commune Ladaux,NC
2012,Commune Lagorce,19
2012,Commune Lalande de Pomerol,NC
2012,Commune Lamarque,7
2012,Commune Lamothe Landerron,8
2012,Commune Landerrouat,NC
2012,Commune Landerrouet sur Ségur,NC
2012,Commune Landiras,11
2012,Commune Langoiran,23
2012,Commune Langon,129
2012,Commune Lansac,8
2012,Commune Lanton ,63
2012,Commune Lapouyade,8
2012,Commune Lartigue,NC
2012,Commune Laruscade,29
2012,Commune Latresne,26
2012,Commune Lavazan,NC
2012,Commune Le Barp,52
2012,Commune Le Bouscat,251
2012,Commune Le Fieu,10
2012,Commune Le Haillan,133
2012,Commune Le Nizan,NC
2012,Commune Le Pian Médoc,66
2012,Commune Le Pian sur Garonne,6
2012,Commune Le Porge,22
2012,Commune Le Pout,NC
2012,Commune Le Puy,NC
2012,Commune Le Taillan Médoc,109
2012,Commune Le Teich,57
2012,Commune Le Temple,NC
2012,Commune Le Tourne,6
2012,Commune Le Tuzan,NC
2012,Commune Le Verdon sur Mer,12
2012,Commune Leogeats,10
2012,Commune Lerm et Musset,6
2012,Commune Les Artigues de Lussac,10
2012,Commune Les Billaux,8
2012,Commune Les Eglisottes et Chalaures,24
2012,Commune Les Esseintes,NC
2012,Commune Les Lèves et Thoumeyragues,NC
2012,Commune Les Peintures,15
2012,Commune Les Salles de castillon,NC
2012,Commune Lesparre Médoc,103
2012,Commune Lestiac sur Garonne,8
2012,Commune Libourne,351
2012,Commune Lignan de Bazas,NC
2012,Commune Lignan de Bordeaux,14
2012,Commune Ligueux,NC
2012,Commune Listrac Médoc,25
2012,Commune Listrac de Dureze,NC
2012,Commune Lormont,328
2012,Commune Loubens,NC
2012,Commune Louchats,7
2012,Commune Loupes,NC
2012,Commune Loupiac,7
2012,Commune Loupiac de la Réole,NC
2012,Commune Lucmau,NC
2012,Commune Ludon Médoc,44
2012,Commune Lugaignac,NC
2012,Commune Lugasson,NC
2012,Commune Lugon et l Ile du Carney,13
2012,Commune Lugos,NC
2012,Commune Lussac,17
2012,Commune Lège Cap Ferret,89
2012,Commune Léognan,113
2012,Commune Macau,43
2012,Commune Maransin,16
2012,Commune Marcenais,8
2012,Commune Marcheprime ,61
2012,Commune Marcillac,11
2012,Commune Margaux,16
2012,Commune Margueron,NC
2012,Commune Marimbault,NC
2012,Commune Marions,NC
2012,Commune Marsas,7
2012,Commune Martignas sur Jalles,75
2012,Commune Martillac,20
2012,Commune Martres,NC
2012,Commune Masseilles,NC
2012,Commune Massugas,NC
2012,Commune Mazion,NC
2012,Commune Mazères,10
2012,Commune Mios,66
2012,Commune Mombrier,NC
2012,Commune Mongauzy,15
2012,Commune Monprimblanc,NC
2012,Commune Monségur,42
2012,Commune Montagne,25
2012,Commune Montagoudin,NC
2012,Commune Montignac,NC
2012,Commune Montussan,21
2012,Commune Morizès,NC
2012,Commune Mouillac,NC
2012,Commune Mouliets et Villemartin,9
2012,Commune Moulis en Médoc,22
2012,Commune Moulon,11
2012,Commune Mourens,NC
2012,Commune Mérignac,815
2012,Commune Mérignas,NC
2012,Commune Naujac sur Mer,17
2012,Commune Naujan et Postiac,9
2012,Commune Neuffons,NC
2012,Commune Noaillac,NC
2012,Commune Noaillan,24
2012,Commune Nérigean,14
2012,Commune Omet,NC
2012,Commune Ordonnac,NC
2012,Commune Origne,NC
2012,Commune Paillet,11
2012,Commune Parempuyre,77
2012,Commune Pauillac,114
2012,Commune Pellegrue,8
2012,Commune Pessac,726
2012,Commune Pessac sur Dordogne,6
2012,Commune Petit Palais et Cornemps,NC
2012,Commune Peujard,18
2012,Commune Pineuilh,59
2012,Commune Plassac,NC
2012,Commune Pleine Selve,NC
2012,Commune Podensac,29
2012,Commune Pomerol,7
2012,Commune Pompignac,19
2012,Commune Pompéjac,NC
2012,Commune Pondaurat,6
2012,Commune Porchères,7
2012,Commune Portets,25
2012,Commune Preignac,29
2012,Commune Prignac et Marcamps,10
2012,Commune Préchac,10
2012,Commune Pugnac,27
2012,Commune Puisseguin,9
2012,Commune Pujols,8
2012,Commune Pujols sur Ciron,10
2012,Commune Puybarban,NC
2012,Commune Puynormand,NC
2012,Commune Périssac,15
2012,Commune Queyrac ,11
2012,Commune Quinsac,19
2012,Commune Rauzan,11
2012,Commune Reignac,20
2012,Commune Riocaud,NC
2012,Commune Rions,14
2012,Commune Roaillan,13
2012,Commune Romagne,NC
2012,Commune Roquebrune,7
2012,Commune Ruch,6
2012,Commune Sablons,8
2012,Commune Sadirac,34
2012,Commune Saillans,7
2012,Commune Salaunes,NC
2012,Commune Salignac,13
2012,Commune Salleboeuf,21
2012,Commune Salles,53
2012,Commune Samonac,NC
2012,Commune Saucats,15
2012,Commune Saugon,9
2012,Commune Saumos,NC
2012,Commune Sauternes,6
2012,Commune Sauveterre de Guyenne,36
2012,Commune Sauviac,NC
2012,Commune Savignac,NC
2012,Commune Savignac de l Isle,10
2012,Commune Semens,NC
2012,Commune Sendets,NC
2012,Commune Sigalens,NC
2012,Commune Sillas,NC
2012,Commune Soulac sur Mer,23
2012,Commune Soulignac,10
2012,Commune Soussac,NC
2012,Commune Soussans,12
2012,Commune St Aignan,NC
2012,Commune St Androny,NC
2012,Commune St André de Cubzac,103
2012,Commune St André du Bois,NC
2012,Commune St André et Appelles,7
2012,Commune St Antoine,NC
2012,Commune St Antoine du Queyret,NC
2012,Commune St Antoine sur l Isle,7
2012,Commune St Aubin de Blaye,14
2012,Commune St Aubin de Branne,NC
2012,Commune St Aubin de Médoc,55
2012,Commune St Avit St Nazaire,21
2012,Commune St Avit de Soulège,NC
2012,Commune St Brice,13
2012,Commune St Caprais de Blaye,12
2012,Commune St Caprais de Bordeaux,23
2012,Commune St Christoly Médoc,NC
2012,Commune St Christoly de Blaye,35
2012,Commune St Christophe de Double,12
2012,Commune St Christophe des Bardes,NC
2012,Commune St Cibard,NC
2012,Commune St Ciers d Abzac,19
2012,Commune St Ciers de Canesse,7
2012,Commune St Ciers sur Gironde,49
2012,Commune St Come,NC
2012,Commune St Denis de Pile,70
2012,Commune St Emilion,20
2012,Commune St Estèphe,27
2012,Commune St Etienne de Lisse,NC
2012,Commune St Exupéry,NC
2012,Commune St Felix de Foncaude,NC
2012,Commune St Ferme,6
2012,Commune St Genès de Blaye,NC
2012,Commune St Genès de Castillon,NC
2012,Commune St Genès de Fronsac,NC
2012,Commune St Genès de Lombaud,NC
2012,Commune St Germain d Esteuil,12
2012,Commune St Germain de Grave,NC
2012,Commune St Germain de la Rivière,NC
2012,Commune St Germain du Puch,9
2012,Commune St Gervais,13
2012,Commune St Girons d'Aiguevives,14
2012,Commune St Hilaire de la Noaille,NC
2012,Commune St Hilaire du Bois,NC
2012,Commune St Hippolyte,NC
2012,Commune St Jean d Illac,55
2012,Commune St Jean de Blaignac,NC
2012,Commune St Julien Beychevelle ,8
2012,Commune St Laurent d Arce,18
2012,Commune St Laurent des Combes ,8
2012,Commune St Laurent du Bois,NC
2012,Commune St Laurent du Médoc,58
2012,Commune St Laurent du Plan,NC
2012,Commune St Loubert,NC
2012,Commune St Loubès,71
2012,Commune St Louis de Montferrand,25
2012,Commune St Léger de Balson,8
2012,Commune St Léon,NC
2012,Commune St Macaire,25
2012,Commune St Magne,16
2012,Commune St Magne de Castillon,25
2012,Commune St Maixant,24
2012,Commune St Mariens,26
2012,Commune St Martin Lacaussade,17
2012,Commune St Martin de Laye,7
2012,Commune St Martin de Lerm,NC
2012,Commune St Martin de Sescas,6
2012,Commune St Martin du Bois,8
2012,Commune St Martin du Puy,6
2012,Commune St Michel de Castelnau,NC
2012,Commune St Michel de Fronsac,NC
2012,Commune St Michel de Lapujade,NC
2012,Commune St Michel de Rieufret,8
2012,Commune St Morillon,16
2012,Commune St Médard d Eyrans,18
2012,Commune St Médard de Guizières,36
2012,Commune St Médard en Jalles,333
2012,Commune St Palais,NC
2012,Commune St Pardon de Conques,NC
2012,Commune St Paul,19
2012,Commune St Pey d Armens,NC
2012,Commune St Pey de Castets,13
2012,Commune St Philippe d Aiguille,10
2012,Commune St Philippe du Seignal,NC
2012,Commune St Pierre d Aurillac,16
2012,Commune St Pierre de Bat,NC
2012,Commune St Pierre de Mons,16
2012,Commune St Quentin de Baron,17
2012,Commune St Quentin de Caplong,NC
2012,Commune St Romain la Virvée,NC
2012,Commune St Sauveur,23
2012,Commune St Sauveur de Puynormand,NC
2012,Commune St Savin,36
2012,Commune St Selve,15
2012,Commune St Seurin de Bourg,NC
2012,Commune St Seurin de Cadourne,17
2012,Commune St Seurin de Cursac,NC
2012,Commune St Seurin sur l'Isle,42
2012,Commune St Sulpice de Faleyrens,14
2012,Commune St Sulpice de Guilleragues,NC
2012,Commune St Sulpice de Pommiers,NC
2012,Commune St Sulpice et Cameyrac,43
2012,Commune St Symphorien,20
2012,Commune St Trojan,6
2012,Commune St Vincent de Paul,15
2012,Commune St Vincent de Pertignas,NC
2012,Commune St Vivien de Blaye,NC
2012,Commune St Vivien de Monségur,NC
2012,Commune St Vivien de Médoc,17
2012,Commune St Yzan de Soudiac,33
2012,Commune St Yzans de Médoc,NC
2012,Commune Ste Colombe,NC
2012,Commune Ste Croix du Mont,NC
2012,Commune Ste Eulalie,48
2012,Commune Ste Florence,NC
2012,Commune Ste Foy la Grande,41
2012,Commune Ste Gemme,NC
2012,Commune Ste Hélène,28
2012,Commune Ste Radegonde,NC
2012,Commune Ste Terre,20
2012,Commune Tabanac,9
2012,Commune Taillecavat,NC
2012,Commune Talais,9
2012,Commune Talence,513
2012,Commune Targon,15
2012,Commune Tarnes,NC
2012,Commune Tauriac,19
2012,Commune Tayac,NC
2012,Commune Teuillac,8
2012,Commune Tizac de Curton,NC
2012,Commune Tizac de Lapouyade,NC
2012,Commune Toulenne,32
2012,Commune Tresses,54
2012,Commune Uzeste,NC
2012,Commune Valeyrac,NC
2012,Commune Vayres,23
2012,Commune Vendays Montalivet,30
2012,Commune Vensac,14
2012,Commune Verac,NC
2012,Commune Verdelais,23
2012,Commune Vertheuil,19
2012,Commune Vignonet,NC
2012,Commune Villandraut,12
2012,Commune Villegouge,17
2012,Commune Villenave d Ornon,345
2012,Commune Villenave de Rions,NC
2012,Commune Villeneuve,NC
2012,Commune Virelade,10
2012,Commune Virsac,14
2012,Commune Yvrac,24
